Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.09693302730845E-05,-4.03625351399176E-13,-0.0187178691238857,0,0,0,4.35454338307744,0.019772220354647,1.18998862197271E-07,6.77704110682819E-06,0.00413553225471282,-7.81217747579506E-15,0.021630011357051,0,0,0,0,0,0,package://Roly_1224/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/base_link.STL,,Roly base-1,trunk,Axis_trunk,trunk,continuous,0,0,0.024,0,0,0,base_link,0,0,1,,,,,,,,,,,,
R_hip_yaw,-0.0376961379513844,2.56625665287502E-06,-0.0690573024444017,0,0,0,0.733343615600181,0.00119900118613847,6.01653813839247E-08,9.24155578825336E-07,0.000924833085839684,-7.6979662571908E-10,0.00124906806994162,0,0,0,0,0,0,package://Roly_1224/meshes/R_hip_yaw.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/R_hip_yaw.STL,,R hip yaw X12 version-1,R hip yaw,Axis_R_hip_yaw,R_hip_yaw,continuous,0,-0.13,-0.024,0,0,0,base_link,0,0,1,,,,,,,,,,,,
R_hip_roll,0.00146093919704943,4.4463285414631E-09,-0.000423486625366125,0,0,0,1.33291706220482,0.000591897359084708,-1.60236032039886E-11,-4.84517470853037E-13,0.00200428114901879,-6.76858682964351E-17,0.00190740917285887,0,0,0,0,0,0,package://Roly_1224/meshes/R_hip_roll.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/R_hip_roll.STL,,R hip roll-1,R hip roll,Axis_R_hip_roll,R_hip_roll,continuous,0,0,-0.1165,1.5707963267949,0,1.5707963267949,R_hip_yaw,0,0,1,,,,,,,,,,,,
R_hip_pitch,-0.127210532308635,0.000292504184818076,0.00107219503644981,0,0,0,2.89882038414392,0.00467343751010157,2.13719906053841E-05,-5.6518479776336E-10,0.00483644807960927,-2.05000027372552E-06,0.00547575849667531,0,0,0,0,0,0,package://Roly_1224/meshes/R_hip_pitch.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/R_hip_pitch.STL,,R Thigh X12 version-1,R hip pitch,Axis_R_hip_pitch,R_hip_pitch,continuous,0,0,0,1.5707963267949,0,1.5707963267949,R_hip_roll,0,0,1,,,,,,,,,,,,
R_calf,-0.115064212556169,-0.000572949014918703,-0.0104599967609764,0,0,0,1.80952664426131,0.00120585904578178,1.76830897841789E-05,-1.72650824574503E-06,0.00439268233185776,4.6424876500587E-08,0.00514146636651206,0,0,0,0,0,0,package://Roly_1224/meshes/R_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/R_calf.STL,,R Calf-1,R knee,Axis_R_calf,R_calf,continuous,-0.27,0,0,0,0,0,R_hip_pitch,0,0,1,,,,,,,,,,,,
R_ankle_pitch,-0.0459607705923536,0.0196304584089844,-4.06788864639185E-05,0,0,0,0.990577841443612,0.00101039477916189,1.54818542472632E-05,-8.03481486413635E-13,0.000487572584280793,-4.50082286340812E-13,0.00115084495203271,0,0,0,0,0,0,package://Roly_1224/meshes/R_ankle_pitch.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/R_ankle_pitch.STL,,R Ankle-1,R ankle pitch,Axis_R_ankle_pitch,R_ankle_pitch,continuous,-0.259999999905383,0,0,0,0,-2.69781849139839E-05,R_calf,0,0,1,,,,,,,,,,,,
R_ankle_roll,-0.0685998049348311,2.20836959829995E-11,0.019999999997078,0,0,0,1.80750858879406,0.00356060489977588,5.03488588914844E-14,5.67862172835683E-14,0.00313608673879828,-3.22423802828859E-13,0.00058266456747892,0,0,0,0,0,0,package://Roly_1224/meshes/R_ankle_roll.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/R_ankle_roll.STL,,Metatarsus-3,R ankle roll,Axis_R_ankle_roll,R_ankle_roll,continuous,-0.0499999999818046,0,0,-1.57079632679489,0,2.69781888389941E-05,R_ankle_pitch,0,0,-1,,,,,,,,,,,,
R_knee_rocker,-0.007194965944889,-0.00261875342616329,-0.0218740723753147,0,0,0,0.147234181769684,3.23048235529037E-05,-1.4298916093054E-05,-6.07779307989089E-06,6.63863926532267E-05,-2.21213576191369E-06,8.94281354141202E-05,0,0,0,0,0,0,package://Roly_1224/meshes/R_knee_rocker.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/R_knee_rocker.STL,,Knee rocker arm-1,R knee link1,Axis_R_knee_rocker,R_knee_rocker,continuous,-0.15,0,-0.0295000000000031,0,0,0,R_hip_pitch,0,0,1,,,,,,,,,,,,
R_knee_linkage,-0.0656726774647621,0.0239026373386673,-5.56360513215282E-13,0,0,0,0.110281845782562,1.16107281445784E-05,2.38947586613589E-05,2.06937327636861E-13,6.8564057108433E-05,5.72483289736154E-13,7.74131693353277E-05,0,0,0,0,0,0,package://Roly_1224/meshes/R_knee_linkage.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/R_knee_linkage.STL,,knee linkage-1,R knee link2,Axis_R_knee_linkage,R_knee_linkage,continuous,-0.0543815572467983,-0.0205212086005182,-0.0265000000000002,0,0,0.349065850416189,R_knee_rocker,0,0,1,,,,,,,,,,,,
L_hip_yaw,-0.0376961379513853,2.5662566443263E-06,-0.0690573024444017,0,0,0,0.733343615600181,0.00119900118613847,6.01653813846355E-08,9.24155578825339E-07,0.000924833085839683,-7.69796626017812E-10,0.00124906806994162,0,0,0,0,0,0,package://Roly_1224/meshes/L_hip_yaw.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/L_hip_yaw.STL,,R hip yaw X12 version-2,L hip yaw,Axis_L_hip_yaw,L_hip_yaw,continuous,0,0.13,-0.024,0,0,0,base_link,0,0,1,,,,,,,,,,,,
L_hip_roll,-0.00146134805967965,-4.44757354556291E-09,-0.000413805692940463,0,0,0,1.33254396984758,0.000591888195356318,-1.6044031165596E-11,3.46676912382387E-13,0.00200428001628851,-2.1651525249567E-16,0.00190740000129135,0,0,0,0,0,0,package://Roly_1224/meshes/L_hip_roll.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/L_hip_roll.STL,,L hip roll-1,L hip roll,Axis_L_hip_roll,L_hip_roll,continuous,0,0,-0.1165,1.5707963267949,0,1.5707963267949,L_hip_yaw,0,0,1,,,,,,,,,,,,
L_hip_pitch,-0.127210532308636,0.000292504184816363,-0.00112657093858282,0,0,0,2.89882038414392,0.00467343751010157,2.1371990605383E-05,-5.65184797684369E-10,0.00483644807960927,2.05001926409394E-06,0.0054757584966753,0,0,0,0,0,0,package://Roly_1224/meshes/L_hip_pitch.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/L_hip_pitch.STL,,L Thigh X12 version-1,L hip pitch,Axis_L_hip_pitch,L_hip_pitch,continuous,0,0,0,1.5707963267949,0,1.5707963267949,L_hip_roll,0,0,1,,,,,,,,,,,,
L_calf,-0.11504693138273,-0.000697382529229965,0.0108054494606965,0,0,0,1.81934397391708,0.00120849467573946,1.7589861816723E-05,1.72520219163425E-06,0.00439549186433966,-4.63703272484908E-08,0.0051406660037251,0,0,0,0,0,0,package://Roly_1224/meshes/L_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/L_calf.STL,,L Calf-1,L knee,Axis_L_calf,L_calf,continuous,-0.270000000000001,0,0,0,0,0,L_hip_pitch,0,0,1,,,,,,,,,,,,
L_ankle_pitch,-0.0379602037507675,0.0196317254657191,5.49195569373995E-05,0,0,0,0.990577843355175,0.00101039570334525,1.54676262322761E-05,-1.95867571401987E-12,0.000487571655961356,-1.71303039775115E-15,0.00115084495573058,0,0,0,0,0,0,package://Roly_1224/meshes/L_ankle_pitch.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/L_ankle_pitch.STL,,L Ankle-1,L ankle pitch,Axis_L_ankle_pitch,L_ankle_pitch,continuous,-0.268,0,0,0,0,0,L_calf,0,0,1,,,,,,,,,,,,
L_ankle_roll,-0.0605998049356964,2.13501993862053E-11,0.0199999999714312,0,0,0,1.80750858879406,0.00356060489977588,5.45548176555048E-14,1.67775233040133E-13,0.00313608673879828,-3.22423776614651E-13,0.000582664567478919,0,0,0,0,0,0,package://Roly_1224/meshes/L_ankle_roll.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/L_ankle_roll.STL,,Metatarsus-4,L ankle roll,Axis_L_ankle_roll,L_ankle_roll,continuous,-0.05,0,0,-1.5707963267949,0,0,L_ankle_pitch,0,0,1,,,,,,,,,,,,
L_knee_rocker,-0.00719496593563268,-0.00261875345159127,0.0168740723753078,0,0,0,0.147234181769685,3.23048234922348E-05,-1.42989160207515E-05,6.07779307394664E-06,6.63863927138957E-05,2.21213577824525E-06,8.94281354141203E-05,0,0,0,0,0,0,package://Roly_1224/meshes/L_knee_rocker.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/L_knee_rocker.STL,,Knee rocker arm-2,L knee link1,Axis_L_knee_rocker,L_knee_rocker,continuous,-0.150000000000001,0,0.0344999999999993,0,0,0,L_hip_pitch,0,0,1,,,,,,,,,,,,
L_knee_linkage,-0.0656726774652409,0.0239026373373545,-5.5364046680495E-13,0,0,0,0.110281845782561,1.16107281436418E-05,2.38947586602427E-05,2.06937395783921E-13,6.85640571093689E-05,5.72483272224594E-13,7.74131693353272E-05,0,0,0,0,0,0,package://Roly_1224/meshes/L_knee_linkage.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/L_knee_linkage.STL,,knee linkage-2,L knee link2,Axis_L_knee_linkage,L_knee_linkage,continuous,-0.0543815572471993,-0.0205212085993825,0.0214999999999903,0,0,0.349065850396594,L_knee_rocker,0,0,1,,,,,,,,,,,,
trunk_link,-0.000201091103482582,-0.0017185025937486,0.342933302682403,0,0,0,3.71736761608289,0.0423654714360518,6.10031795665191E-05,-3.51532548621826E-05,0.0296803741935269,6.70641597388617E-05,0.0132646084404227,0,0,0,0,0,0,package://Roly_1224/meshes/trunk_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/trunk_link.STL,,Roly body-1,trunk,Axis_trunk,trunk,continuous,0,0,0,0,0,0,base_link,0,0,1,,,,,,,,,,,,
neck,-0.0115401971148564,-0.00305819315450973,2.74217546394347E-05,0,0,0,0.0915993237937377,1.52019609168068E-05,1.43206387589899E-09,3.28341386543831E-07,2.61388223158171E-05,1.37470597830518E-09,2.11960891861308E-05,0,0,0,0,0,0,package://Roly_1224/meshes/neck.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/neck.STL,,neck-1,camera,Axis_neck,neck,continuous,0.0236000000000003,0,0.6049,1.5707963267949,0,0,trunk_link,0,1,0,,,,,,,,,,,,
camera,0.00773068278361724,0.0510544535429485,-0.00119353011540578,0,0,0,0.074287263423426,4.43870779407165E-05,9.06935673607431E-08,4.47251575648331E-07,3.98543909637004E-05,2.19915553005928E-08,1.5340417371391E-05,0,0,0,0,0,0,package://Roly_1224/meshes/camera.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_1224/meshes/camera.STL,,camera-1,camera,Axis_camera,camera,continuous,0,0,0,0,0,0,neck,0,0,1,,,,,,,,,,,,
