Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
R_shoulder,-4.78828931240873E-05,0.0156539518070029,0.248211898616547,0,0,0,0.159233792908747,5.90635379080722E-05,6.76340148769994E-07,3.93669860266589E-09,4.06885503332512E-05,-6.05489800766554E-09,7.3658214817E-05,0,0,0,0,0,0,package://Roly_update/meshes/R_shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_update/meshes/R_shoulder.STL,,shoulder R-1,R shoulder,Axis_R_shoulder,R_shoulder,continuous,0,0,0.495,1.5708,0,0,trunk_link,0,0,1,,,,,,,,,,,,
R_arm1,-0.0833488305221005,1.97180429876431E-05,-7.82530764731025E-06,0,0,0,0.185807988030178,5.49966092882244E-05,1.2433857230614E-08,6.76337657036284E-07,8.80008229873593E-05,3.93877607820814E-09,6.51364712534083E-05,0,0,0,0,0,0,package://Roly_update/meshes/R_arm1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_update/meshes/R_arm1.STL,,arm_R_1-1,R arm1,Axis_R_arm1,R_arm1,continuous,0,0,0.2488,1.5708,0,1.5708,R_shoulder,0,0,1,,,,,,,,,,,,
R_arm2,-0.0563000259056253,1.75933948937113E-07,-0.00680843482052775,0,0,0,0.0726996420803591,2.47802098371494E-05,2.31836798352999E-11,1.78932145416602E-07,2.6966904229404E-05,2.41655414443905E-11,1.38415312507139E-05,0,0,0,0,0,0,package://Roly_update/meshes/R_arm2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_update/meshes/R_arm2.STL,,arm_R_2-1,R arm2,Axis_R_arm2,R_arm2,continuous,-0.1105,0,0,0,0,0,R_arm1,0,0,1,,,,,,,,,,,,
R_arm3,-3.22966608941877E-05,-1.4973746871969E-05,-0.127350702193879,0,0,0,0.0455132201726528,1.04441289107308E-05,-1.21609224311861E-12,1.81663840661959E-07,1.24358375510277E-05,-2.28574770322915E-09,7.82054953991462E-06,0,0,0,0,0,0,package://Roly_update/meshes/R_arm3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_update/meshes/R_arm3.STL,,arm_R_3-1,R arm3,Axis_R_arm3,R_arm3,continuous,0,0,0,1.5708,0,1.5708,R_arm2,0,0,1,,,,,,,,,,,,
R_arm4,-0.0101576588872515,-0.047494615258097,9.27942669561033E-05,0,0,0,0.0493363034804285,9.03991587155395E-06,1.7893257478444E-07,2.41603387549999E-11,1.18657637430999E-05,-1.47190672566463E-11,1.28686059122131E-05,0,0,0,0,0,0,package://Roly_update/meshes/R_arm4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_update/meshes/R_arm4.STL,,arm_R_4-1,R arm4,Axis_R_arm4,R_arm4,continuous,0,0,-0.1403,1.5708,0,1.5708,R_arm3,0,0,1,,,,,,,,,,,,
R_palm,-0.0113946842972341,0.0235192814508995,0.122399644416361,0,0,0,0.113705119247748,1.3780982342221E-05,-2.42636957056662E-07,1.94870345629198E-07,4.21616665868208E-05,-2.41359412605047E-07,4.19257646065179E-05,0,0,0,0,0,0,package://Roly_update/meshes/R_palm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_update/meshes/R_palm.STL,,right_palm_camera-1,R palm,Axis_R_palm,R_palm,continuous,0,0,0,1.5708,0,0,R_arm4,0,0,1,,,,,,,,,,,,
R finger1-1,-0.000480686558137322,-0.0114899518322553,5.752972154216E-09,0,0,0,0.0012778761403405,1.1824809639494E-07,-4.03761413416375E-09,1.01172163297441E-14,2.04217019954223E-08,5.71316280881948E-14,1.35262128682723E-07,0,0,0,0,0,0,package://Roly_update/meshes/R finger1-1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_update/meshes/R finger1-1.STL,,上手指指節2-3,Origin_R finger1-1,Axis_R finger1-1,R finger1-1,continuous,-0.035007,0,0.14,-1.5708,0.04118,-3.1416,R_palm,0,0,1,,,,,,,,,,,,
R finger1-2,-0.00382802648270555,-0.0297910428258497,1.94733618119614E-10,0,0,0,0.00707739712532309,1.51715953464134E-06,2.43506955637569E-07,1.5995473913918E-13,3.21509193857958E-07,-4.41039109602696E-13,1.7239148033551E-06,0,0,0,0,0,0,package://Roly_update/meshes/R finger1-2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_update/meshes/R finger1-2.STL,,上手指指節1-3,Origin_R finger1-2,Axis_R finger1-2,R finger1-2,continuous,-0.00094687,-0.022981,0,0,0,-0.04118,R finger1-1,0,0,1,,,,,,,,,,,,
R finger2-1,0.000527380885400608,-0.0114881135900972,-6.84427847730262E-10,0,0,0,0.0012778761403405,1.18248088639666E-07,4.03770808337544E-09,-8.10269804901887E-16,2.04217097506651E-08,-6.91892129797207E-15,1.35262128682755E-07,0,0,0,0,0,0,package://Roly_update/meshes/R finger2-1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_update/meshes/R finger2-1.STL,,上手指指節2-2,Origin_R finger2-1,Axis_R finger2-1,R finger2-1,continuous,0.0303576346822608,0.0175269885557571,0.139999914307583,-1.57079638666558,-0.0411808566521372,-2.61799394048697,R_palm,0,0,0.999999999999996,,,,,,,,,,,,
R finger2-2,0.0038747458567531,-0.0297911285180824,-1.94733729141916E-10,0,0,0,0.00707739712532309,1.51715953464136E-06,-2.43506955637547E-07,1.59954739110165E-13,3.21509193857949E-07,4.41039109201381E-13,1.72391480335511E-06,0,0,0,0,0,0,package://Roly_update/meshes/R finger2-2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Roly_update/meshes/R finger2-2.STL,,上手指指節1-2,Origin_R finger2-2,Axis_R finger2-2,R finger2-2,continuous,0.000946892016852635,-0.0229805003319862,0,0,0,0.0411808566521328,R finger2-1,0,0,1,,,,,,,,,,,,
